              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      1.5000000     -1.9511321     0.17274348    -0.98650733    0.017648537    0.017648537     0.98650733       12046465
      1.6000000     -1.9282412     0.26274310    -0.97962075    0.043242781    0.043242781     0.97962075       30119110
      1.7000000     -1.8981554     0.34118096    -0.97007461    0.069024117    0.069024117     0.97007461       56395995
      1.8000000     -1.8593013     0.43997530    -0.95686144     0.11370506     0.11370506     0.95686144       93629334
      1.9000000     -1.8095891     0.56019451    -0.93834613     0.19734633     0.19734633     0.93834613      145381621
      2.0000000     -1.7455629     0.72512191    -0.91129132     0.38677406     0.38677406     0.91129132      216586504
      2.1000000     -1.6617522     0.97292959    -0.86824309      1.0262547      1.0262547     0.86824309      314100015
      2.2000000     -1.5468045      1.4016257    -0.78545453      4.6134457      4.6134457     0.78545453      449692919
      2.3000000     -1.3551118      2.1103103   -0.020854572      362.64765      63.709064     0.43751966      649465783
      2.4000000     -1.2042322      1.1477041  -0.0015008578      65.394763      22.311761     0.16948231      902989597
      2.5000000     -1.1060984     0.86001546  0.00021808000      24.837737      8.8392854     0.10540438     1193943227
      2.6000000     -1.0282672     0.70493692  0.00046158833      13.883005      4.9564790    0.080294139     1516073102
      2.7000000    -0.96351818     0.59690100 -1.5895556E-05      8.8882081      3.2083958    0.065267599     1865380993
      2.8000000    -0.90810653     0.51573665 -1.4581667E-05      6.4221800      2.3286028    0.056426002    -2056055151
      2.9000000    -0.86000479     0.45199243 -0.00027331056      4.9002242      1.7717573    0.050201878    -1660904255
