              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      2.2000000     -1.5463709      1.4052022    -0.78477795      4.6030626      4.6030626     0.78477795      135445488
      2.2100000     -1.5315885      1.5069574    -0.76850844      8.2584353      7.9633583     0.76862629      275576647
      2.2200000     -1.5155498      1.6007457    -0.74943783      10.465896      10.446486     0.74944582      421144718
      2.2300000     -1.5007689      1.6547052    -0.53236868      429.11279      9.8260876     0.73698116      571330154
      2.2400000     -1.4822341      1.8212147    -0.12435903      796.54586      18.334991     0.70688419      727922418
      2.2500000     -1.4659327      1.8815210    0.041778039      772.69288      21.851495     0.68630989      890464006
      2.2600000     -1.4418594      2.1248618   0.0082898594      678.91686      36.759120     0.63498116     1061469667
      2.2700000     -1.4232128      2.1927047    0.037211442      613.88098      44.770098     0.60020057     1238123204
      2.2800000     -1.3998739      2.2406065    -0.12507551      504.57799      53.656287     0.54884208     1421893054
      2.2900000     -1.3779704      2.2235026   -0.035954276      446.47807      61.039091     0.49646221     1613850616
      2.3000000     -1.3576747      2.1068827   -0.021188692      379.53106      62.803132     0.45033644     1813544177
      2.3100000     -1.3364208      1.9817776   -0.016805201      306.55216      63.144462     0.39556165     2020521597
      2.3200000     -1.3169540      1.8593189    0.021495369      250.31580      58.597234     0.35215624    -2061275347
      2.3300000     -1.2995870      1.6842128   -0.026356211      203.93924      52.121705     0.31457008    -1842256017
      2.3400000     -1.2830903      1.5718722   0.0031350856      169.43705      46.765342     0.28239412    -1616941956
      2.3500000     -1.2680058      1.4488759  0.00059153333      136.91923      41.280649     0.24986214    -1387005583
