              T              E       Evar/T^2              M         Mvar/T      MvarAbs/T            |M|     Num_config
      2.0000000     -1.7457173     0.72898834    -0.91137633     0.38753026     0.38753026     0.91137633       63263363
      2.0100000     -1.7382149     0.74553872    -0.90790709     0.41958294     0.41958294     0.90790709      128516482
      2.0200000     -1.7306747     0.76354297    -0.90442289     0.44588696     0.44588696     0.90442289      195918656
      2.0300000     -1.7231083     0.79008261    -0.90084084     0.48775142     0.48775142     0.90084084      265455779
      2.0400000     -1.7148362     0.80963655    -0.89672350     0.53664330     0.53664330     0.89672350      337280864
      2.0500000     -1.7068174     0.83257733    -0.89277570     0.58903975     0.58903975     0.89277570      411304106
      2.0600000     -1.6983162     0.85413300    -0.88849741     0.62934960     0.62934960     0.88849741      487809975
      2.0700000     -1.6899010     0.87089779    -0.88411074     0.69312915     0.69312915     0.88411074      566651130
      2.0800000     -1.6807199     0.90713193    -0.87913604     0.77054025     0.77054025     0.87913604      648151640
      2.0900000     -1.6714382     0.93911041    -0.87400479     0.85683701     0.85683701     0.87400479      732255150
      2.1000000     -1.6619026     0.97299873    -0.86859948     0.95079032     0.95079032     0.86859948      818945327
      2.1100000     -1.6524776     0.99148646    -0.86334354      1.0204239      1.0204239     0.86334354      908330231
      2.1200000     -1.6424880      1.0333920    -0.85724154      1.2049418      1.2049418     0.85724154     1000671321
      2.1300000     -1.6315007      1.0701923    -0.85023411      1.3597096      1.3597096     0.85023411     1096131403
      2.1400000     -1.6210163      1.1040929    -0.84337007      1.5716892      1.5716892     0.84337007     1194705231
      2.1500000     -1.6094222      1.1532614    -0.83542910      1.8200847      1.8200847     0.83542910     1296511757
      2.1600000     -1.5979209      1.2047826    -0.82683947      2.2899894      2.2899894     0.82683947     1401741210
      2.1700000     -1.5858067      1.2593316    -0.81717857      3.5376236      3.5376236     0.81717857     1510591073
      2.1800000     -1.5737161      1.2708894    -0.80910427      2.8684263      2.8684263     0.80910427     1622851110
      2.1900000     -1.5611069      1.3299685    -0.79893508      3.3799007      3.3799007     0.79893508     1738921386
      2.2000000     -1.5467707      1.3975010    -0.78522293      4.7635466      4.7635466     0.78522293     1858979839
      2.2100000     -1.5315615      1.4985211    -0.76932968      6.5937798      6.5937798     0.76932968     1983608901
      2.2200000     -1.5166302      1.6403107    -0.75194465      10.887219      10.887219     0.75194465     2112227902
      2.2300000     -1.5007814      1.6788678    -0.73461667      11.250647      11.250647     0.73461667    -2049286328
      2.2400000     -1.4823200      1.8453730    -0.49074557      762.22440      19.785341     0.70759090    -1909626014
      2.2500000     -1.4635654      2.0535680    -0.10153248      1302.4292      35.729713     0.67500583    -1764725123
      2.2600000     -1.4427494      2.1587874    -0.33587644      867.64199      44.693293     0.63515096    -1613222895
      2.2700000     -1.4209539      2.3564810    -0.13522366      970.54619      73.233021     0.58013033    -1455823223
      2.2800000     -1.4011371      2.2926403   0.0087264912      907.04543      69.635129     0.54626328    -1291630208
      2.2900000     -1.3733739      2.3252362  -0.0045308306      672.19276      103.36678     0.45116912    -1119407817
      2.3000000     -1.3517187      2.1614922   -0.029260132      516.87713      102.25019     0.38712106     -940870539
      2.3100000     -1.3328485      1.9422710   -0.033080137      409.90821      92.532739     0.34006912     -756458842
      2.3200000     -1.3126820      1.7643899   -0.016102054      298.07066      81.805875     0.28045545     -566955912
      2.3300000     -1.2963775      1.6271080   -0.071778477      229.87740      72.136902     0.25015905     -370524071
      2.3400000     -1.2804323      1.4967606   -0.049354618      173.13052      55.833697     0.21289089     -170243174
      2.3500000     -1.2659565      1.3967283   -0.022630981      146.96912      48.509127     0.19148222       35076292
      2.3600000     -1.2528747      1.3285139 -0.00087575187      116.42470      39.478383     0.16844798      244465005
      2.3700000     -1.2397766      1.2902311 -0.00069739187      105.56469      36.747136     0.15963861      458098009
      2.3800000     -1.2276571      1.2386800   -0.011492620      84.774917      28.740348     0.14481000      675396659
      2.3900000     -1.2156984      1.1833585   0.0045847806      74.179904      26.373269     0.13369297      896812362
      2.4000000     -1.2043933      1.1480850   0.0095839194      67.217116      23.676235     0.12813931     1122167892
